neighborhoods,crimerate,density,,,,
Allston,12.1,18505,,,,
Brighton,12.1,15786,,,,
Roxbury,30.1,23831,,,,
Jamaica Plain,19.0,22567,,,,
East Boston,14.4,27604,,,,
Fenway,35.0,19291,,,,
Mattapan,43.3,12490,,,,
South End,35.0,42624,,,,
Roslindale,8.3,6389,,,,
North End,41.7,27580,,,,
Hyde Park,20.0,6784,,,,
West Roxbury,8.3,4947,,,,
Back Bay,35.0,14775,,,,
Beacon Hill,35.0,47862,,,,
Charlestown,15.6,11756,,,,
South Boston,28.1,11837,,,,
Misson Hill,30.1,26317,,,,
Dorchester,13.1,18729,,,,
Harbor Islands,3.1,415,,,,
Longwood Medical Area,35.0,21763,,,,
Chinatown,"41,7",42158,,,,
Downtown,41.7,21954,,,,
Leather District,41.7,21763,,,,
West End,41.7,29500,,,,
South Boston Waterfront,28.1,36532,,,,