neighborhood,year,rent
Allston-Brighton,2016,1810
Roxbury,2016,1790
Jamaica Plain,2016,1800
E. Boston,2016,1700
Fenway-Kenmore,2016,2900
Mattapan,2016,1350
S. End,2016,3640
Roslindale,2016,1600
North End,2016,2350
Hyde Park,2016,1780
W. Roxbury,2016,1600
Back Bay,2016,2850
Beacon Hill,2016,2450
Charlestown,2016,2600
Chinatown,2016,2455
South Boston,2016,2500
Misson Hill,2016,1810
Dorchester,2016,1900
Allston-Brighton,2017,1900
Roxbury,2017,1750
Jamaica Plain,2017,1820
E. Boston,2017,1730
Fenway-Kenmore,2017,2862
Mattapan,2017,1328
S. End,2017,3600
Roslindale,2017,1602
North End,2017,1355
Hyde Park,2017,1766
W. Roxbury,2017,1560
Back Bay,2017,2920
Beacon Hill,2017,2455
Chinatown,2017,2448
Charlestown,2017,2597
S. Boston,2017,2520
Misson Hill,2017,1839
Dorchester,2017,1920